# Copyright (C) 1991-2013 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II 64-Bit Version 13.0.1 Build 232 06/12/2013 Service Pack 1 SJ Web Edition
# File: C:\Users\xKamaiL\Desktop\digitalcircuit-laboratoy\lab3\lab3part5_pin.csv
# Generated on: Thu Aug 18 00:45:36 2022

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Transceiver Analog Settings Protocol,VCCR_GXB/VCCT_GXB Voltage,Transceiver I/O Pin Termination,Transceiver Dedicated Refclk Pin Termination,Transmitter Common Mode Driver Voltage,Transmitter Slew Rate Control,Transmitter Differential Output Voltage,Receiver Buffer Common Mode Voltage
debug_a[7],Output,,,,PIN_T20,,,,,,,,,,,,,
debug_a[6],Output,,,,PIN_U11,,,,,,,,,,,,,
debug_a[5],Output,,,,PIN_Y9,,,,,,,,,,,,,
debug_a[4],Output,,,,PIN_P12,,,,,,,,,,,,,
debug_a[3],Output,,,,PIN_R9,,,,,,,,,,,,,
debug_a[2],Output,,,,PIN_AA12,,,,,,,,,,,,,
debug_a[1],Output,,,,PIN_AB8,,,,,,,,,,,,,
debug_a[0],Output,,,,PIN_AB13,,,,,,,,,,,,,
debug_b[7],Output,,,,PIN_Y11,,,,,,,,,,,,,
debug_b[6],Output,,,,PIN_R10,,,,,,,,,,,,,
debug_b[5],Output,,,,PIN_R11,,,,,,,,,,,,,
debug_b[4],Output,,,,PIN_Y10,,,,,,,,,,,,,
debug_b[3],Output,,,,PIN_M9,,,,,,,,,,,,,
debug_b[2],Output,,,,PIN_AB10,,,,,,,,,,,,,
debug_b[1],Output,,,,PIN_AB11,,,,,,,,,,,,,
debug_b[0],Output,,,,PIN_T22,,,,,,,,,,,,,
debug_s[7],Output,,,,PIN_K22,,,,,,,,,,,,,
debug_s[6],Output,,,,PIN_U12,,,,,,,,,,,,,
debug_s[5],Output,,,,PIN_R14,,,,,,,,,,,,,
debug_s[4],Output,,,,PIN_T10,,,,,,,,,,,,,
debug_s[3],Output,,,,PIN_R12,,,,,,,,,,,,,
debug_s[2],Output,,,,PIN_M6,,,,,,,,,,,,,
debug_s[1],Output,,,,PIN_V15,,,,,,,,,,,,,
debug_s[0],Output,,,,PIN_T17,,,,,,,,,,,,,
hex0[0],Output,PIN_U21,4A,B4A_N0,PIN_U21,,,,,,,,,,,,,
hex0[1],Output,PIN_V21,4A,B4A_N0,PIN_V21,,,,,,,,,,,,,
hex0[2],Output,PIN_W22,4A,B4A_N0,PIN_W22,,,,,,,,,,,,,
hex0[3],Output,PIN_W21,4A,B4A_N0,PIN_W21,,,,,,,,,,,,,
hex0[4],Output,PIN_Y22,4A,B4A_N0,PIN_Y22,,,,,,,,,,,,,
hex0[5],Output,PIN_Y21,4A,B4A_N0,PIN_Y21,,,,,,,,,,,,,
hex0[6],Output,PIN_AA22,4A,B4A_N0,PIN_AA22,,,,,,,,,,,,,
hex1[0],Output,PIN_AA20,4A,B4A_N0,PIN_AA20,,,,,,,,,,,,,
hex1[1],Output,PIN_AB20,4A,B4A_N0,PIN_AB20,,,,,,,,,,,,,
hex1[2],Output,PIN_AA19,4A,B4A_N0,PIN_AA19,,,,,,,,,,,,,
hex1[3],Output,PIN_AA18,4A,B4A_N0,PIN_AA18,,,,,,,,,,,,,
hex1[4],Output,PIN_AB18,4A,B4A_N0,PIN_AB18,,,,,,,,,,,,,
hex1[5],Output,PIN_AA17,4A,B4A_N0,PIN_AA17,,,,,,,,,,,,,
hex1[6],Output,PIN_U22,4A,B4A_N0,PIN_U22,,,,,,,,,,,,,
hex2[0],Output,PIN_Y19,4A,B4A_N0,PIN_Y19,,,,,,,,,,,,,
hex2[1],Output,PIN_AB17,4A,B4A_N0,PIN_AB17,,,,,,,,,,,,,
hex2[2],Output,PIN_AA10,3B,B3B_N0,PIN_AA10,,,,,,,,,,,,,
hex2[3],Output,PIN_Y14,4A,B4A_N0,PIN_Y14,,,,,,,,,,,,,
hex2[4],Output,PIN_V14,4A,B4A_N0,PIN_V14,,,,,,,,,,,,,
hex2[5],Output,PIN_AB22,4A,B4A_N0,PIN_AB22,,,,,,,,,,,,,
hex2[6],Output,PIN_AB21,4A,B4A_N0,PIN_AB21,,,,,,,,,,,,,
hex3[0],Output,PIN_Y16,4A,B4A_N0,PIN_Y16,,,,,,,,,,,,,
hex3[1],Output,PIN_W16,4A,B4A_N0,PIN_W16,,,,,,,,,,,,,
hex3[2],Output,PIN_Y17,4A,B4A_N0,PIN_Y17,,,,,,,,,,,,,
hex3[3],Output,PIN_V16,4A,B4A_N0,PIN_V16,,,,,,,,,,,,,
hex3[4],Output,PIN_U17,4A,B4A_N0,PIN_U17,,,,,,,,,,,,,
hex3[5],Output,PIN_V18,4A,B4A_N0,PIN_V18,,,,,,,,,,,,,
hex3[6],Output,PIN_V19,4A,B4A_N0,PIN_V19,,,,,,,,,,,,,
hex4[0],Output,PIN_U20,4A,B4A_N0,PIN_U20,,,,,,,,,,,,,
hex4[1],Output,PIN_Y20,4A,B4A_N0,PIN_Y20,,,,,,,,,,,,,
hex4[2],Output,PIN_V20,4A,B4A_N0,PIN_V20,,,,,,,,,,,,,
hex4[3],Output,PIN_U16,4A,B4A_N0,PIN_U16,,,,,,,,,,,,,
hex4[4],Output,PIN_U15,4A,B4A_N0,PIN_U15,,,,,,,,,,,,,
hex4[5],Output,PIN_Y15,4A,B4A_N0,PIN_Y15,,,,,,,,,,,,,
hex4[6],Output,PIN_P9,3B,B3B_N0,PIN_P9,,,,,,,,,,,,,
hex5[0],Output,PIN_N9,3B,B3B_N0,PIN_N9,,,,,,,,,,,,,
hex5[1],Output,PIN_M8,3B,B3B_N0,PIN_M8,,,,,,,,,,,,,
hex5[2],Output,PIN_T14,4A,B4A_N0,PIN_T14,,,,,,,,,,,,,
hex5[3],Output,PIN_P14,4A,B4A_N0,PIN_P14,,,,,,,,,,,,,
hex5[4],Output,PIN_C1,2A,B2A_N0,PIN_C1,,,,,,,,,,,,,
hex5[5],Output,PIN_C2,2A,B2A_N0,PIN_C2,,,,,,,,,,,,,
hex5[6],Output,PIN_W19,4A,B4A_N0,PIN_W19,,,,,,,,,,,,,
ledr,Output,PIN_AA2,2A,B2A_N0,PIN_AA2,,,,,,,,,,,,,
m,Input,PIN_AB12,4A,B4A_N0,PIN_AB12,,,,,,,,,,,,,
sw[7],Input,PIN_AA13,4A,B4A_N0,PIN_AA13,,,,,,,,,,,,,
sw[6],Input,PIN_AA14,4A,B4A_N0,PIN_AA14,,,,,,,,,,,,,
sw[5],Input,PIN_AB15,4A,B4A_N0,PIN_AB15,,,,,,,,,,,,,
sw[4],Input,PIN_AA15,4A,B4A_N0,PIN_AA15,,,,,,,,,,,,,
sw[3],Input,PIN_T12,4A,B4A_N0,PIN_T12,,,,,,,,,,,,,
sw[2],Input,PIN_T13,4A,B4A_N0,PIN_T13,,,,,,,,,,,,,
sw[1],Input,PIN_V13,4A,B4A_N0,PIN_V13,,,,,,,,,,,,,
sw[0],Input,PIN_U13,4A,B4A_N0,PIN_U13,,,,,,,,,,,,,
