# Copyright (C) 1991-2013 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II 64-Bit Version 13.0.1 Build 232 06/12/2013 Service Pack 1 SJ Web Edition
# File: C:\Users\xKamaiL\Desktop\digitalcircuit-laboratoy\lab4\part1\lab4part1.csv
# Generated on: Wed Aug 24 19:41:13 2022

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Transceiver Analog Settings Protocol,VCCR_GXB/VCCT_GXB Voltage,Transceiver I/O Pin Termination,Transceiver Dedicated Refclk Pin Termination,Transmitter Common Mode Driver Voltage,Transmitter Slew Rate Control,Transmitter Differential Output Voltage,Receiver Buffer Common Mode Voltage
clear,Input,PIN_U13,4A,B4A_N0,PIN_U13,,,,,,,,,,,,,
debug[7],Output,,,,PIN_W19,,,,,,,,,,,,,
debug[6],Output,,,,PIN_V20,,,,,,,,,,,,,
debug[5],Output,,,,PIN_T14,,,,,,,,,,,,,
debug[4],Output,,,,PIN_U15,,,,,,,,,,,,,
debug[3],Output,,,,PIN_V16,,,,,,,,,,,,,
debug[2],Output,,,,PIN_AB22,,,,,,,,,,,,,
debug[1],Output,,,,PIN_W16,,,,,,,,,,,,,
debug[0],Output,,,,PIN_Y20,,,,,,,,,,,,,
enable,Input,PIN_V13,4A,B4A_N0,PIN_V13,,,,,,,,,,,,,
hex0[0],Output,PIN_U21,4A,B4A_N0,PIN_U21,,,,,,,,,,,,,
hex0[1],Output,PIN_V21,4A,B4A_N0,PIN_V21,,,,,,,,,,,,,
hex0[2],Output,PIN_W22,4A,B4A_N0,PIN_W22,,,,,,,,,,,,,
hex0[3],Output,PIN_W21,4A,B4A_N0,PIN_W21,,,,,,,,,,,,,
hex0[4],Output,PIN_Y22,4A,B4A_N0,PIN_Y22,,,,,,,,,,,,,
hex0[5],Output,PIN_Y21,4A,B4A_N0,PIN_Y21,,,,,,,,,,,,,
hex0[6],Output,PIN_AA22,4A,B4A_N0,PIN_AA22,,,,,,,,,,,,,
hex1[0],Output,PIN_AA20,4A,B4A_N0,PIN_AA20,,,,,,,,,,,,,
hex1[1],Output,PIN_AB20,4A,B4A_N0,PIN_AB20,,,,,,,,,,,,,
hex1[2],Output,PIN_AA19,4A,B4A_N0,PIN_AA19,,,,,,,,,,,,,
hex1[3],Output,PIN_AA18,4A,B4A_N0,PIN_AA18,,,,,,,,,,,,,
hex1[4],Output,PIN_AB18,4A,B4A_N0,PIN_AB18,,,,,,,,,,,,,
hex1[5],Output,PIN_AA17,4A,B4A_N0,PIN_AA17,,,,,,,,,,,,,
hex1[6],Output,PIN_U22,4A,B4A_N0,PIN_U22,,,,,,,,,,,,,
key0,Input,PIN_U7,3A,B3A_N0,PIN_U7,,,,,,,,,,,,,
